year,month,location_name,country_name,lon,lat,event_type
2023,12,BASEL / BINNINGEN ,スイス,7.58,47.54,extreme_high_temperature
2023,12,PAYERNE ,スイス,6.94,46.81,extreme_high_temperature
2023,12,ZUERICH / FLUNTERN,スイス,8.57,47.38,extreme_high_temperature
2023,12,GENEVE-COINTRIN ,スイス,6.13,46.25,extreme_high_temperature
2023,12,COL DU GRAND ST-BERN,スイス,7.17,45.87,extreme_high_temperature
2023,12,SION,スイス,7.33,46.22,extreme_high_temperature
2023,12,LUGANO,スイス,8.96,46.00,extreme_high_temperature
2023,12,STRASBOURG-ENTZHEIM ,フランス ,7.64,48.55,extreme_high_temperature
2023,12,BOURGES ,フランス ,2.36,47.06,extreme_high_temperature
2023,12,DIJON-LONGVIC ,フランス ,5.09,47.27,extreme_high_temperature
2023,12,BALE-MULHOUSE ,フランス ,7.51,47.61,extreme_high_temperature
2023,12,LE PUY-LOUDES ,フランス ,3.76,45.07,extreme_high_temperature
2023,12,MONT AIGOUAL,フランス ,3.58,44.12,extreme_high_temperature
2023,12,PERPIGNAN ,フランス ,2.87,42.74,extreme_high_temperature
2023,12,AJACCIO ,フランス ,8.79,41.92,extreme_high_temperature
2023,12,LA CORUNA ,スペイン ,-8.42,43.37,extreme_high_temperature
2023,12,ORENSE,スペイン ,-7.86,42.33,extreme_high_temperature
2023,12,SORIA ,スペイン ,-2.47,41.77,extreme_high_temperature
2023,12,GIRONA/COSTA BRAVA,スペイン ,2.76,41.91,extreme_high_temperature
2023,12,NAVACERRADA ,スペイン ,-4.01,40.78,extreme_high_temperature
2023,12,CUENCA,スペイン ,-2.14,40.07,extreme_high_temperature
2023,12,TERUEL,スペイン ,-1.12,40.35,extreme_high_temperature
2023,12,TORTOSA ,スペイン ,0.49,40.82,extreme_high_temperature
2023,12,ALBACETE/LOS LLANOS ,スペイン ,-1.86,38.95,extreme_high_temperature
2023,12,CASTELLON ,スペイン ,-0.07,39.95,extreme_high_temperature
2023,12,MURCIA,スペイン ,-1.17,38.00,extreme_high_temperature
2023,12,ALMERIA/AEROPUERTO,スペイン ,-2.36,36.85,extreme_high_temperature
2023,12,GIBRALTAR ,ジブラルタル ,-5.35,36.15,extreme_high_temperature
2023,12,PONTA DELGADA/NORDEL,ポルトガル,-25.70,37.73,extreme_high_temperature
2023,12,SANTA MARIA (ACORES),ポルトガル,-25.17,36.97,extreme_high_temperature
2023,12,FUNCHAL ,マデイラ ,-16.90,32.63,extreme_high_temperature
2023,12,PORTO SANTO ,マデイラ ,-16.35,33.07,extreme_high_temperature
2023,12,LISBOA/GEOF ,ポルトガル,-9.15,38.72,extreme_high_temperature
2023,12,FARO/AEROPORTO,ポルトガル,-7.97,37.02,extreme_high_temperature
2023,12,EVORA/C. COORD,ポルトガル,-7.90,38.53,extreme_high_temperature
2023,12,CASTELO BRANCO,ポルトガル,-7.48,39.83,extreme_high_temperature
2023,12,WEIDEN,ドイツ,12.18,49.67,extreme_high_temperature
2023,12,MUEHLACKER,ドイツ,8.87,48.97,extreme_high_temperature
2023,12,STUTTGART/SCHNARRENB,ドイツ,9.20,48.83,extreme_high_temperature
2023,12,WEISSENBURG ,ドイツ,10.96,49.02,extreme_high_temperature
2023,12,NUERNBERG ,ドイツ,11.06,49.50,extreme_high_temperature
2023,12,ROTH,ドイツ,11.10,49.22,extreme_high_temperature
2023,12,REGENSBURG,ドイツ,12.10,49.04,extreme_high_temperature
2023,12,GELBELSEE ,ドイツ,11.43,48.95,extreme_high_temperature
2023,12,ZWIESEL ,ドイツ,13.24,49.03,extreme_high_temperature
2023,12,LAHR,ドイツ,7.83,48.37,extreme_high_temperature
2023,12,STOETTEN,ドイツ,9.87,48.67,extreme_high_temperature
2023,12,HARBURG ,ドイツ,10.71,48.79,extreme_high_temperature
2023,12,AUGSBURG,ドイツ,10.94,48.42,extreme_high_temperature
2023,12,WEIHENSTEPHAN-DURNAS,ドイツ,11.70,48.40,extreme_high_temperature
2023,12,MUENCHEN-FLUGHAFEN,ドイツ,11.81,48.35,extreme_high_temperature
2023,12,MUEHLDORF ,ドイツ,12.50,48.28,extreme_high_temperature
2023,12,FURSTENZELL ,ドイツ,13.36,48.55,extreme_high_temperature
2023,12,KONSTANZ,ドイツ,9.19,47.68,extreme_high_temperature
2023,12,LEUTKIRCH-HERLAZHOFE,ドイツ,10.03,47.80,extreme_high_temperature
2023,12,KEMPTEN ,ドイツ,10.34,47.72,extreme_high_temperature
2023,12,OBERSTDORF,ドイツ,10.28,47.40,extreme_high_temperature
2023,12,HOHENPEISSENBERG,ドイツ,11.01,47.80,extreme_high_temperature
2023,12,GARMISCH-PARTENKIRCH,ドイツ,11.06,47.48,extreme_high_temperature
2023,12,WIEN/HOHE WARTE ,オーストリア ,16.36,48.25,extreme_high_temperature
2023,12,SALZBURG-FLUGHAFEN,オーストリア ,13.00,47.79,extreme_high_temperature
